WKT,LINK_ID,ST_NAME
"MULTILINESTRING ((34.83654 32.0484,34.83655 32.04845,34.83657 32.0487,34.83697 32.04868))",834445668,
"MULTILINESTRING ((34.8197 32.05266,34.8202 32.05268,34.8203 32.05268))",834445678,שלום עליכם
"MULTILINESTRING ((34.8263 32.10175,34.82646 32.10177,34.82665 32.10179))",834446199,
"MULTILINESTRING ((34.84367 32.06783,34.84365 32.06799,34.84364 32.06817,34.84366 32.06826,34.8439 32.06827,34.84404 32.06832,34.84412 32.06838,34.84431 32.0684,34.8446 32.06839))",834446616,
"MULTILINESTRING ((34.82561 32.09927,34.82567 32.09934,34.8258 32.0996,34.82584 32.09984))",834446830,
"MULTILINESTRING ((34.84302 32.06621,34.84288 32.06651,34.84285 32.06657,34.84276 32.06667))",834447112,
"MULTILINESTRING ((34.84041 32.04821,34.84054 32.04846,34.84074 32.04886,34.8408 32.04903))",834447577,
"MULTILINESTRING ((34.8408 32.04903,34.84079 32.04909,34.84072 32.0492,34.84018 32.04956,34.8403 32.04984,34.8403 32.04997))",834447579,
"MULTILINESTRING ((34.84308 32.04326,34.84308 32.0433,34.84311 32.04337,34.84314 32.0434,34.84348 32.04338,34.84369 32.04338))",834448679,
"MULTILINESTRING ((34.8006 32.08743,34.80097 32.08843,34.8012 32.08895,34.80123 32.08892,34.80105 32.08843))",834448928,
"MULTILINESTRING ((34.81388 32.08879,34.81398 32.08868,34.81407 32.08874,34.81419 32.08883,34.8143 32.08893))",834449865,
"MULTILINESTRING ((34.84041 32.04821,34.83961 32.04846,34.83961 32.04854))",834455354,
"MULTILINESTRING ((34.82835 32.10042,34.82827 32.10058,34.8281 32.10072))",834455445,
"MULTILINESTRING ((34.83278 32.06659,34.83247 32.06661,34.83239 32.06662))",834455471,
"MULTILINESTRING ((34.84759 32.05016,34.8476 32.0502,34.84763 32.0503,34.84816 32.05022,34.84825 32.05031,34.84827 32.05039))",834456095,
"MULTILINESTRING ((34.84079 32.04811,34.84071 32.04811,34.84067 32.04814,34.84063 32.04824,34.84065 32.04828,34.84076 32.04839,34.84085 32.04851,34.84094 32.04873,34.84108 32.04885))",834456418,
"MULTILINESTRING ((34.82494 32.04286,34.82529 32.0429,34.82544 32.04287,34.82559 32.04277,34.82572 32.04274,34.82592 32.04278,34.82662 32.04303))",834456423,
"MULTILINESTRING ((34.81852 32.04966,34.81847 32.04974,34.8184 32.04995))",834457040,
"MULTILINESTRING ((34.84838 32.06982,34.84828 32.06982,34.84794 32.07002,34.84773 32.07014))",834461840,
"MULTILINESTRING ((34.83976 32.05135,34.83943 32.05146,34.83915 32.05155,34.83879 32.05167,34.83847 32.05178,34.83819 32.05189))",834461925,דרך שיבא
"MULTILINESTRING ((34.83448 32.04269,34.83464 32.0431,34.83469 32.04331))",834463258,
"MULTILINESTRING ((34.8394 32.0559,34.83948 32.05607,34.83958 32.05631,34.83976 32.05677))",834463584,ה' באייר
"MULTILINESTRING ((34.82324 32.0773,34.82326 32.07772,34.82327 32.07787))",834465496,עוזיאל
"MULTILINESTRING ((34.8261 32.07891,34.82621 32.07893,34.82642 32.07893,34.82655 32.07893))",834466473,
"MULTILINESTRING ((34.83815 32.04819,34.83816 32.04829,34.83815 32.04841,34.83813 32.04845,34.83799 32.04873,34.83799 32.0488))",834466726,
"MULTILINESTRING ((34.84817 32.07376,34.84798 32.07381,34.84806 32.07407,34.8481 32.07415,34.84708 32.07459,34.84693 32.07465,34.84688 32.07469,34.84686 32.07473))",834467507,
"MULTILINESTRING ((34.81434 32.04622,34.81436 32.04635,34.81436 32.04641,34.81471 32.04639))",834467644,
"MULTILINESTRING ((34.84589 32.04484,34.84592 32.04541,34.84592 32.04549))",834468108,
"MULTILINESTRING ((34.80006 32.08494,34.7999 32.08491,34.79954 32.08493,34.79922 32.08496))",834468527,יצחק מודעי
"MULTILINESTRING ((34.82532 32.10151,34.82514 32.10165,34.82484 32.1018,34.8246 32.10187))",834469695,
"MULTILINESTRING ((34.84356 32.04436,34.84356 32.04473,34.84363 32.04475,34.84403 32.04475))",834470562,
"MULTILINESTRING ((34.84023 32.05466,34.8406 32.05503,34.84121 32.05568,34.84141 32.05588))",834475097,"הפל""ים"
"MULTILINESTRING ((34.82458 32.10345,34.82457 32.1035,34.82455 32.10354,34.8245 32.10357,34.8237 32.10364,34.82361 32.10367,34.82356 32.1037,34.82354 32.10377))",834477286,
"MULTILINESTRING ((34.84364 32.06612,34.84343 32.06623,34.84331 32.06631,34.84317 32.06626))",834477400,
"MULTILINESTRING ((34.84231 32.06649,34.84234 32.06651,34.84244 32.06651))",834477405,
"MULTILINESTRING ((34.84289 32.04328,34.8429 32.04362,34.84291 32.04364))",834478433,
"MULTILINESTRING ((34.80111 32.0832,34.80108 32.08328,34.80104 32.08337,34.80098 32.08348,34.80091 32.08359,34.80076 32.08381))",834484116,זיסמן שלום
"MULTILINESTRING ((34.84388 32.0675,34.84389 32.06783,34.84367 32.06783))",834484502,
"MULTILINESTRING ((34.84 32.05188,34.83959 32.05202,34.83874 32.05231,34.83864 32.05236,34.83862 32.05239,34.83862 32.05245,34.83879 32.05283,34.8389 32.05301))",834484754,שיכון הבנים
"MULTILINESTRING ((34.84645 32.07328,34.84621 32.07334,34.84619 32.07335,34.84615 32.07336,34.84613 32.07342))",834485313,
"MULTILINESTRING ((34.84252 32.05791,34.84238 32.05801,34.84164 32.05857,34.84106 32.05905,34.84077 32.05922,34.84059 32.0593))",834492210,היובל
"MULTILINESTRING ((34.83705 32.04799,34.83727 32.04791,34.83751 32.04786,34.8378 32.04784,34.83793 32.04785,34.83806 32.0479,34.83814 32.0481,34.83815 32.04819))",834492804,
"MULTILINESTRING ((34.81666 32.09216,34.81703 32.09229,34.81779 32.09253))",834493398,ארניה
"MULTILINESTRING ((34.83927 32.06801,34.83942 32.06824,34.83948 32.06828,34.83957 32.06827,34.83965 32.06827,34.83978 32.06835,34.83983 32.06836))",834495078,
"MULTILINESTRING ((34.83952 32.04076,34.83964 32.04094,34.84007 32.04151,34.84017 32.04168,34.84028 32.04191,34.84036 32.04222,34.84032 32.04237))",834495326,
"MULTILINESTRING ((34.84062 32.06661,34.8408 32.06657,34.8408 32.06679,34.84099 32.0668))",834496481,
"MULTILINESTRING ((34.82573 32.05951,34.8256 32.05958,34.82521 32.05967,34.82485 32.05974,34.82475 32.05973,34.82463 32.05972))",834498363,
"MULTILINESTRING ((34.84318 32.0436,34.84324 32.04359,34.84343 32.04359,34.84346 32.04363,34.84348 32.04372))",834504239,
"MULTILINESTRING ((34.82807 32.09957,34.82802 32.09969,34.82797 32.09984))",834504372,
"MULTILINESTRING ((34.83109 32.06086,34.83304 32.06123))",834504710,ארנון
"MULTILINESTRING ((34.83398 32.05132,34.83406 32.05131,34.83419 32.05133,34.83437 32.05139))",834504802,נווה אפעל
"MULTILINESTRING ((34.83706 32.05809,34.83734 32.059))",834505098,
"MULTILINESTRING ((34.81685 32.05492,34.81614 32.05541))",834505205,
"MULTILINESTRING ((34.82517 32.07666,34.82457 32.07667))",834505252,לוחמי סיני
"MULTILINESTRING ((34.82994 32.06634,34.82843 32.06639))",834505279,"אצ""ל"
"MULTILINESTRING ((34.81592 32.05143,34.8169 32.05158,34.817 32.05161))",834505289,שלום עליכם
"MULTILINESTRING ((34.81617 32.05225,34.81625 32.05254))",834505290,גבעת גאולה
"MULTILINESTRING ((34.82531 32.07829,34.82534 32.07848))",834505339,"הרא""ה"
"MULTILINESTRING ((34.80124 32.08963,34.80108 32.0897))",834505365,ביאליק
"MULTILINESTRING ((34.83415 32.05929,34.83412 32.05932,34.83358 32.05931))",834505391,האם
"MULTILINESTRING ((34.82563 32.07359,34.82567 32.07455))",834505990,סאלק
"MULTILINESTRING ((34.83315 32.0451,34.83338 32.04601))",834506002,משואה
"MULTILINESTRING ((34.83576 32.04849,34.83638 32.04945))",834506242,שדרות הארזים
"MULTILINESTRING ((34.8373 32.04195,34.83747 32.04242))",834506322,שחם
"MULTILINESTRING ((34.84142 32.04742,34.84143 32.0476))",834506623,
"MULTILINESTRING ((34.83143 32.05347,34.8315 32.05362))",834506649,"שז""ר"
"MULTILINESTRING ((34.81443 32.05168,34.81413 32.05159,34.81395 32.05158,34.81384 32.05183))",834506715,
"MULTILINESTRING ((34.82757 32.07149,34.82762 32.07239,34.82764 32.07246,34.8277 32.07251,34.82775 32.07253,34.8278 32.07257,34.8278 32.07268,34.82778 32.0729))",834506734,מיכאל
"MULTILINESTRING ((34.82726 32.06845,34.82733 32.06893))",834506748,"החי""ל"
"MULTILINESTRING ((34.81579 32.04774,34.81569 32.04839))",834507384,בניהו
"MULTILINESTRING ((34.84607 32.04483,34.84606 32.04537,34.84616 32.04539,34.84626 32.04539))",834507523,
"MULTILINESTRING ((34.84474 32.04979,34.84479 32.04983,34.8448 32.04989,34.84476 32.05021))",834507766,גפונוב
"MULTILINESTRING ((34.82894 32.0722,34.82891 32.0723,34.82887 32.07235,34.82873 32.07246))",834508652,
"MULTILINESTRING ((34.81525 32.08481,34.8152 32.08518))",834511206,הרצל
"MULTILINESTRING ((34.81498 32.08681,34.81539 32.0869))",834511209,הרצל
"MULTILINESTRING ((34.81675 32.08313,34.81663 32.08389))",834511419,מירקין
"MULTILINESTRING ((34.8146 32.05734,34.81387 32.05751))",834511491,המאה ואחד
"MULTILINESTRING ((34.83429 32.04281,34.83383 32.04291,34.83354 32.04295))",834513795,ספיר
"MULTILINESTRING ((34.8344 32.05087,34.83443 32.05091,34.83445 32.05101))",834516531,נווה אפעל
"MULTILINESTRING ((34.83619 32.04609,34.83539 32.04641))",834516720,שדרות האורנים
"MULTILINESTRING ((34.84542 32.07364,34.84542 32.07378,34.84544 32.07385,34.84552 32.07386,34.84637 32.07365))",834518449,
"MULTILINESTRING ((34.80193 32.07931,34.80275 32.07936))",834519490,"תרע""ד"
"MULTILINESTRING ((34.81729 32.08676,34.81739 32.08681,34.81763 32.08686,34.8181 32.08691))",834521012,שדרות הגיבורים
"MULTILINESTRING ((34.84486 32.04503,34.8447 32.04513,34.84468 32.0452,34.8447 32.04552))",834521182,
"MULTILINESTRING ((34.80273 32.08502,34.80252 32.08517))",834521930,היצירה
"MULTILINESTRING ((34.83458 32.04334,34.83467 32.04358))",834522002,שדרות הברושים
"MULTILINESTRING ((34.84093 32.04837,34.84108 32.04885))",834522019,מנדס
"MULTILINESTRING ((34.83749 32.05134,34.83753 32.0514))",834522300,שדרות הארזים
"MULTILINESTRING ((34.83488 32.04478,34.83429 32.04489))",834522412,ארגמן
"MULTILINESTRING ((34.80095 32.08637,34.80115 32.08642,34.80134 32.08656,34.80167 32.08688,34.80179 32.08703,34.80202 32.08737))",834522749,בצלאל
