WKT,LINK_ID,ST_NAME
"MULTILINESTRING ((34.83501 32.04973,34.83581 32.05098))",834805479,האשל
"MULTILINESTRING ((34.83723 32.04629,34.83714 32.04633))",834805551,הלוטוס
"MULTILINESTRING ((34.83302 32.04742,34.83267 32.04753,34.83245 32.0476))",834805576,שדרות האורנים
"MULTILINESTRING ((34.80731 32.0876,34.80683 32.08781,34.80675 32.08787))",834806282,צוריאל
"MULTILINESTRING ((34.80774 32.08861,34.80734 32.08913))",834806886,איתמר
"MULTILINESTRING ((34.80833 32.08265,34.80843 32.08262,34.80872 32.08258,34.80898 32.08256,34.80913 32.08259,34.80969 32.08276))",834806957,המכבי
"MULTILINESTRING ((34.8077 32.08396,34.80788 32.08401))",834807169,ז'בוטינסקי
"MULTILINESTRING ((34.81093 32.08253,34.81006 32.08257))",834807357,בר גיורא
"MULTILINESTRING ((34.8006 32.08743,34.801 32.08772))",834807709,
"MULTILINESTRING ((34.83651 32.05333,34.83615 32.05375))",834807728,דרך שיבא
"MULTILINESTRING ((34.83158 32.06289,34.83157 32.06329))",834807790,
"MULTILINESTRING ((34.82754 32.04096,34.82769 32.04079,34.82788 32.04067,34.82802 32.04063,34.82819 32.0406,34.82834 32.04061,34.82849 32.04065,34.82863 32.04072,34.82877 32.04083,34.82887 32.04096,34.82892 32.0411,34.82895 32.04125,34.82894 32.04142,34.82889 32.04154,34.82879 32.04168))",834807832,
"MULTILINESTRING ((34.81492 32.04838,34.8149 32.04888))",834807852,שלם
"MULTILINESTRING ((34.83028 32.05104,34.83017 32.05114,34.83012 32.05131))",834807863,
"MULTILINESTRING ((34.83581 32.05098,34.83608 32.05142))",834807882,האשל
"MULTILINESTRING ((34.81891 32.0526,34.8197 32.05266))",834807887,בני הנביאים
"MULTILINESTRING ((34.82609 32.10057,34.82604 32.10077))",834807988,
"MULTILINESTRING ((34.83253 32.0699,34.83254 32.07,34.83255 32.07008))",834808023,אריה בן אליעזר
"MULTILINESTRING ((34.83141 32.06343,34.83173 32.06343,34.83194 32.06344))",834808025,פנחס רוטנברג
"MULTILINESTRING ((34.80268 32.08584,34.80342 32.08545,34.80352 32.08546,34.80357 32.08548,34.80392 32.08586,34.80423 32.08624))",834808092,החלזון
"MULTILINESTRING ((34.8358 32.0667,34.83574 32.06686,34.83572 32.06711,34.83575 32.06747))",834808153,סיירת דוכיפת
"MULTILINESTRING ((34.83607 32.06981,34.83578 32.0699))",834808154,הרב לוין
"MULTILINESTRING ((34.84984 32.05495,34.84974 32.05507,34.84941 32.05508))",834808165,
"MULTILINESTRING ((34.81422 32.04529,34.81398 32.04531,34.81416 32.04583,34.81428 32.04608))",834808187,
"MULTILINESTRING ((34.82754 32.0989,34.82743 32.09923))",834808191,
"MULTILINESTRING ((34.84206 32.06563,34.84237 32.06558,34.8426 32.06556,34.84285 32.06558,34.84304 32.0656,34.84351 32.06574))",834808249,
"MULTILINESTRING ((34.82685 32.07505,34.82627 32.07507))",834808336,האגדה
"MULTILINESTRING ((34.81645 32.06711,34.81653 32.06734))",834808343,דרך דוד בן גוריון
"MULTILINESTRING ((34.81487 32.08024,34.81544 32.08039))",834808347,אורה
"MULTILINESTRING ((34.82193 32.06427,34.82044 32.06446))",834808392,פנחס רוטנברג
"MULTILINESTRING ((34.83251 32.05026,34.83255 32.05038))",834808407,
"MULTILINESTRING ((34.82377 32.04898,34.82388 32.04919,34.82395 32.04921,34.82408 32.04914))",834808419,
"MULTILINESTRING ((34.82344 32.0611,34.82349 32.0614))",834808420,אהרונסון שרה
"MULTILINESTRING ((34.84261 32.04945,34.84266 32.04961))",834808424,
"MULTILINESTRING ((34.83283 32.05735,34.83266 32.05741,34.83239 32.05749,34.83208 32.05758,34.83112 32.05786))",834808434,אלוף שדה
"MULTILINESTRING ((34.82627 32.07507,34.82629 32.07545))",834808435,
"MULTILINESTRING ((34.83326 32.04789,34.83247 32.0481,34.83242 32.04813,34.83241 32.04818,34.8326 32.04863))",834808473,אוכמנית
"MULTILINESTRING ((34.82101 32.07552,34.82104 32.07588))",834808474,מעלה הבנים
"MULTILINESTRING ((34.82468 32.04096,34.8251 32.04146,34.82539 32.0417,34.8257 32.04201,34.82662 32.04303))",834808484,
"MULTILINESTRING ((34.84652 32.04812,34.8469 32.04826))",834808559,
"MULTILINESTRING ((34.81923 32.04992,34.81974 32.05014))",834808615,מלכי צדק
"MULTILINESTRING ((34.82747 32.07629,34.82747 32.07653,34.82741 32.07693))",834808676,אלוף הנצחון
"MULTILINESTRING ((34.82867 32.05863,34.82806 32.05882))",834808702,אלוף שדה
"MULTILINESTRING ((34.83203 32.04396,34.83188 32.04399))",834808734,לבונה
"MULTILINESTRING ((34.84698 32.04846,34.84724 32.04858))",834808738,
"MULTILINESTRING ((34.80116 32.08842,34.80105 32.08843))",834808795,
"MULTILINESTRING ((34.82841 32.05847,34.828 32.0586))",834808800,אלוף שדה
"MULTILINESTRING ((34.84356 32.04436,34.84374 32.04436))",834808867,
"MULTILINESTRING ((34.83447 32.05148,34.83455 32.0516,34.8348 32.05234))",834808933,
"MULTILINESTRING ((34.83855 32.06825,34.8386 32.06835))",834808949,התפוצות
"MULTILINESTRING ((34.8124 32.05304,34.81224 32.05322,34.81208 32.05339,34.81193 32.05354))",834808951,דרך הטייסים
"MULTILINESTRING ((34.83829 32.06986,34.83782 32.07001))",834808955,הרב לנדרס
"MULTILINESTRING ((34.81396 32.09063,34.81407 32.09065,34.81425 32.09073,34.81551 32.09153))",834808963,חרות
"MULTILINESTRING ((34.82595 32.06858,34.82604 32.06903))",834808968,שלומציון
"MULTILINESTRING ((34.82685 32.07505,34.8269 32.07618,34.82692 32.07631))",834808987,האמוראים
"MULTILINESTRING ((34.8268 32.07353,34.82633 32.07355))",834809075,מוצא
"MULTILINESTRING ((34.83289 32.05114,34.8331 32.05168,34.83315 32.05189,34.83321 32.05194))",834809166,נווה אפעל
"MULTILINESTRING ((34.82147 32.05425,34.82194 32.0544,34.82203 32.05446,34.82204 32.05448,34.82203 32.05461,34.82186 32.05519,34.82154 32.05527))",834809168,עידו
"MULTILINESTRING ((34.83168 32.05404,34.83213 32.05506))",834809174,"שז""ר"
"MULTILINESTRING ((34.83354 32.04295,34.83197 32.04302))",834809176,ספיר
"MULTILINESTRING ((34.83246 32.06351,34.83278 32.06356))",834809184,פנחס רוטנברג
"MULTILINESTRING ((34.81593 32.08283,34.81634 32.08287,34.81654 32.08296,34.81664 32.08303))",834809227,דוד
"MULTILINESTRING ((34.82175 32.06823,34.82178 32.06832))",834809305,עוזיאל
"MULTILINESTRING ((34.81848 32.05817,34.81847 32.05835))",834809351,רמת חן
"MULTILINESTRING ((34.80363 32.08939,34.80367 32.08996,34.80372 32.09015))",834809353,אנה פרנק
"MULTILINESTRING ((34.82796 32.05661,34.8277 32.05668))",834809420,
"MULTILINESTRING ((34.80609 32.08845,34.80626 32.0885))",834809462,אסף
"MULTILINESTRING ((34.81542 32.04626,34.81497 32.0463))",834809582,
"MULTILINESTRING ((34.81312 32.05354,34.81334 32.05373))",834809668,
"MULTILINESTRING ((34.83642 32.07047,34.83626 32.07051))",834809689,
"MULTILINESTRING ((34.81954 32.06464,34.81939 32.06485,34.81921 32.06496))",834809745,לויטה
"MULTILINESTRING ((34.81898 32.08983,34.81914 32.0899))",834809747,481
"MULTILINESTRING ((34.81443 32.04603,34.81428 32.04608))",834809834,
"MULTILINESTRING ((34.82031 32.06755,34.82045 32.06834))",834809856,חבר
"MULTILINESTRING ((34.83274 32.06334,34.83278 32.06356))",834809960,אריה בן אליעזר
"MULTILINESTRING ((34.81817 32.05399,34.81745 32.05401))",834809978,כף גימל
"MULTILINESTRING ((34.83194 32.0633,34.83194 32.06344))",834809983,הרב חי טייב יצחק
"MULTILINESTRING ((34.83142 32.06328,34.83157 32.06329))",834810009,
"MULTILINESTRING ((34.82667 32.09866,34.82681 32.0987))",834810012,
"MULTILINESTRING ((34.82074 32.06534,34.82109 32.06635))",834810021,עוזיאל
"MULTILINESTRING ((34.82339 32.06062,34.82268 32.06064,34.82178 32.0606,34.82173 32.06061,34.82169 32.06066,34.8216 32.06091,34.82159 32.06102,34.8216 32.06104))",834810088,הבילויים
"MULTILINESTRING ((34.81559 32.05087,34.81586 32.05131,34.81592 32.05143))",834810090,גבעת גאולה
"MULTILINESTRING ((34.84242 32.06802,34.84237 32.06806))",834810377,
"MULTILINESTRING ((34.82315 32.07256,34.82317 32.07265,34.8232 32.07296))",834810581,עוזיאל
"MULTILINESTRING ((34.82273 32.07109,34.8228 32.07133))",834810583,עוזיאל
"MULTILINESTRING ((34.83906 32.04555,34.83784 32.04604))",834810606,הלוטוס
"MULTILINESTRING ((34.82191 32.06667,34.82201 32.06696,34.82204 32.06702,34.82209 32.06705,34.82406 32.0668))",834810612,השר משה
"MULTILINESTRING ((34.84476 32.07387,34.84534 32.07464))",834810619,הרב הרצוג
"MULTILINESTRING ((34.83401 32.06453,34.83386 32.06527))",834810642,מבצע עין
"MULTILINESTRING ((34.8463 32.04567,34.84635 32.04607,34.84635 32.04657,34.84633 32.04659,34.84628 32.0466,34.84616 32.04657,34.84615 32.04626))",834810810,
"MULTILINESTRING ((34.82817 32.09926,34.82811 32.09943))",834810948,
"MULTILINESTRING ((34.82584 32.09984,34.82583 32.09998))",834810985,
"MULTILINESTRING ((34.8492 32.04862,34.84906 32.04864))",834810986,
"MULTILINESTRING ((34.81762 32.085,34.81789 32.08512))",834811078,שרת משה
"MULTILINESTRING ((34.82176 32.06624,34.82191 32.06667))",834811186,השר משה
"MULTILINESTRING ((34.82494 32.07206,34.82479 32.07207,34.82339 32.07215,34.82303 32.07214))",834811310,אהוד
"MULTILINESTRING ((34.80496 32.08901,34.80506 32.08925,34.80538 32.0899))",834811425,רות
"MULTILINESTRING ((34.83199 32.05653,34.83049 32.05699))",834811427,שדרות בן צבי
"MULTILINESTRING ((34.82615 32.09893,34.82638 32.099))",834811497,קניון איילון
"MULTILINESTRING ((34.81895 32.06721,34.81855 32.06731,34.81838 32.06733,34.81833 32.06732))",834811600,גדעון
"MULTILINESTRING ((34.83402 32.06674,34.83399 32.06712,34.834 32.06752))",834811624,הגולן
"MULTILINESTRING ((34.84821 32.05803,34.84795 32.05838))",834811720,האילנות
"MULTILINESTRING ((34.82274 32.05712,34.82337 32.05733))",834811726,יאיר
"MULTILINESTRING ((34.82252 32.05259,34.82238 32.05274))",834812736,
"MULTILINESTRING ((34.81152 32.09441,34.81102 32.09445))",834813880,המרגנית
"MULTILINESTRING ((34.80956 32.08888,34.80935 32.08923,34.80932 32.08933,34.80928 32.08942))",834814088,פני הגבעה
"MULTILINESTRING ((34.81066 32.08573,34.81026 32.08594,34.80987 32.08613))",834814089,ביאליק
"MULTILINESTRING ((34.82364 32.05468,34.82384 32.0548,34.82434 32.05513))",834814207,אלוף דוד
"MULTILINESTRING ((34.82364 32.05468,34.82356 32.05483,34.82335 32.05552,34.82326 32.05576))",834814209,זכריה
"MULTILINESTRING ((34.82897 32.05925,34.82921 32.05925))",834814594,האם
"MULTILINESTRING ((34.8329 32.05931,34.8329 32.05995))",834814596,עליה שלישית
"MULTILINESTRING ((34.82747 32.07629,34.82692 32.07631))",834814598,אלוף נחמיה תמרי
"MULTILINESTRING ((34.82435 32.07459,34.82445 32.07459))",834814600,שדרות ירושלים
"MULTILINESTRING ((34.82811 32.07424,34.82812 32.0744,34.82812 32.07451))",834814608,תרצה
"MULTILINESTRING ((34.83184 32.07565,34.83181 32.07585,34.83175 32.07591))",834814617,יצחק שדה
"MULTILINESTRING ((34.83635 32.04483,34.8366 32.04531))",834814631,הדודאים
"MULTILINESTRING ((34.81939 32.0519,34.81906 32.05238))",834814766,שדרות יהדות פילדלפיה
"MULTILINESTRING ((34.83507 32.05956,34.83543 32.06045))",834814781,הארז
"MULTILINESTRING ((34.83778 32.06831,34.83707 32.0686))",834814794,שרירא גאון
"MULTILINESTRING ((34.81787 32.06914,34.81723 32.0693))",834814814,שדרות השחרור
"MULTILINESTRING ((34.81385 32.0478,34.81386 32.04804))",834814836,דרך הטייסים
"MULTILINESTRING ((34.83799 32.04906,34.838 32.0494,34.83803 32.04951))",834814844,
"MULTILINESTRING ((34.83973 32.05432,34.84029 32.05456))",834814864,"צה""ל"
"MULTILINESTRING ((34.84096 32.0476,34.84097 32.04775))",834814868,
"MULTILINESTRING ((34.84221 32.06816,34.84211 32.06819,34.84166 32.06821))",834814925,
"MULTILINESTRING ((34.82958 32.07051,34.82873 32.07056))",834815077,רימלט אלימלך
"MULTILINESTRING ((34.83627 32.04326,34.83639 32.04342,34.83649 32.04357))",834815086,לבונה
"MULTILINESTRING ((34.81418 32.05583,34.8146 32.05734))",834815162,גולני
"MULTILINESTRING ((34.83536 32.04369,34.83548 32.04397))",834815176,החרוב
"MULTILINESTRING ((34.8261 32.05643,34.82622 32.05642,34.8263 32.0564,34.82636 32.05643,34.82648 32.05658,34.82692 32.05742,34.82687 32.05747,34.82673 32.05752,34.82658 32.05752,34.82645 32.05749,34.82627 32.05736,34.82611 32.05732))",834815184,תדהר
"MULTILINESTRING ((34.81906 32.05071,34.81888 32.05104))",834815207,
"MULTILINESTRING ((34.80164 32.08471,34.80155 32.0849))",834815235,שמרלינג
"MULTILINESTRING ((34.80452 32.09016,34.8045 32.09031,34.80449 32.09069))",834815254,יהודית
"MULTILINESTRING ((34.83688 32.07032,34.83681 32.07034))",834815314,הרב לנדרס
"MULTILINESTRING ((34.8301 32.07305,34.83008 32.07327))",834815359,הגאון אליהו
"MULTILINESTRING ((34.83831 32.06778,34.83773 32.06799))",834815379,ההגנה
"MULTILINESTRING ((34.81888 32.05104,34.81954 32.05134,34.81961 32.05138,34.81964 32.05144))",834815486,עזריאל
"MULTILINESTRING ((34.83349 32.04941,34.83392 32.04932,34.83404 32.04931,34.83422 32.04934,34.83429 32.04939,34.83442 32.04957,34.83487 32.05025))",834815492,נווה אפעל
"MULTILINESTRING ((34.81708 32.05678,34.81639 32.05695))",834815499,המאה ואחד
"MULTILINESTRING ((34.81817 32.04838,34.81838 32.04844))",834815505,אחד העם
"MULTILINESTRING ((34.83768 32.05173,34.83765 32.05187,34.83763 32.05199,34.83756 32.05213,34.83741 32.05235))",834815539,
"MULTILINESTRING ((34.83784 32.06686,34.83798 32.06714))",834815669,התפוצות
"MULTILINESTRING ((34.83278 32.06356,34.83323 32.06367))",834815676,הכבאים
"MULTILINESTRING ((34.8293 32.06842,34.82855 32.06846))",834815682,הרבי מרוזין
"MULTILINESTRING ((34.84645 32.04825,34.84637 32.04838))",834815720,
"MULTILINESTRING ((34.8339 32.06153,34.83393 32.0616,34.83388 32.06177,34.83348 32.0619))",834815857,
"MULTILINESTRING ((34.8352 32.05076,34.83549 32.05122))",834816052,נווה אפעל
"MULTILINESTRING ((34.82494 32.0729,34.82497 32.07342))",834816079,"הרא""ה"
"MULTILINESTRING ((34.82635 32.0723,34.82563 32.07235))",834816082,אמנון ותמר
"MULTILINESTRING ((34.82698 32.05611,34.82713 32.05622))",834816170,
"MULTILINESTRING ((34.84142 32.04742,34.84098 32.04743))",834816286,
"MULTILINESTRING ((34.80147 32.08506,34.80134 32.085,34.80121 32.08519))",834816409,
"MULTILINESTRING ((34.83722 32.06888,34.83751 32.06935))",834816541,"אצ""ל"
"MULTILINESTRING ((34.83386 32.06527,34.83375 32.06622))",834816543,מבצע עין
"MULTILINESTRING ((34.82438 32.0787,34.82514 32.0787))",834816561,קרסקי
"MULTILINESTRING ((34.84183 32.04907,34.842 32.04907))",834816853,
"MULTILINESTRING ((34.82517 32.0454,34.82456 32.04564,34.82419 32.04571,34.82278 32.0463,34.82233 32.04647,34.822 32.04656,34.82148 32.04663))",834817021,
"MULTILINESTRING ((34.82591 32.05596,34.8261 32.05643))",834817029,דקר
"MULTILINESTRING ((34.82806 32.05882,34.82811 32.0591))",834817043,הירדן
"MULTILINESTRING ((34.83492 32.04724,34.83391 32.04765))",834817110,אלומות
"MULTILINESTRING ((34.82839 32.05036,34.82823 32.05051,34.82802 32.05067,34.8278 32.05079,34.8274 32.05092))",834817136,
"MULTILINESTRING ((34.83695 32.0479,34.83671 32.048))",834817180,יסמין
"MULTILINESTRING ((34.82675 32.07293,34.8268 32.07353))",834817247,מוצא
"MULTILINESTRING ((34.80002 32.08412,34.79971 32.08418))",834818015,זיסמן שלום
"MULTILINESTRING ((34.82611 32.05732,34.82604 32.05751,34.82593 32.05768))",834818189,דקר
"MULTILINESTRING ((34.82861 32.06917,34.82871 32.07012))",834818303,הירדן
"MULTILINESTRING ((34.83107 32.05997,34.83054 32.05998))",834818345,נווה יהושוע
"MULTILINESTRING ((34.82895 32.07084,34.82893 32.07115))",834818405,
"MULTILINESTRING ((34.82507 32.08288,34.82522 32.08305))",834818892,הבנים
"MULTILINESTRING ((34.82625 32.0709,34.82635 32.0723))",834818896,השושן
"MULTILINESTRING ((34.83012 32.05131,34.82999 32.0514,34.8298 32.05146,34.82889 32.05159))",834819166,
"MULTILINESTRING ((34.8282 32.05654,34.82796 32.05661))",834819170,
"MULTILINESTRING ((34.82612 32.06706,34.82617 32.06744))",834819172,"החי""ל"
"MULTILINESTRING ((34.83756 32.04554,34.83784 32.04604))",834819317,הרדוף
"MULTILINESTRING ((34.83695 32.04578,34.83619 32.04609))",834819319,שדרות האורנים
"MULTILINESTRING ((34.83756 32.04554,34.83695 32.04578))",834819569,שדרות האורנים
"MULTILINESTRING ((34.80861 32.08657,34.80861 32.08668))",834819581,אלעזר
"MULTILINESTRING ((34.83573 32.04844,34.83576 32.04849))",834819610,שדרות הארזים
"MULTILINESTRING ((34.80237 32.08875,34.80235 32.08887,34.80233 32.08895,34.80228 32.08909))",834819671,
"MULTILINESTRING ((34.83243 32.05581,34.83249 32.05591))",834819893,"שז""ר"
"MULTILINESTRING ((34.81261 32.09179,34.81224 32.09283))",834819983,ערמונים
"MULTILINESTRING ((34.82229 32.07676,34.82233 32.07727))",834820074,מוריה
"MULTILINESTRING ((34.81379 32.0548,34.814 32.05523,34.81414 32.05567))",834820112,גולני
"MULTILINESTRING ((34.8155 32.05417,34.81471 32.05442,34.81379 32.0548))",834820249,מחץ
"MULTILINESTRING ((34.81349 32.05433,34.81307 32.05454,34.81285 32.05467))",834820251,אלוף דוד
"MULTILINESTRING ((34.8131 32.05768,34.81242 32.05774))",834820255,אלוף דוד
"MULTILINESTRING ((34.81618 32.05348,34.81596 32.05351,34.81531 32.05366))",834820506,אלוף דוד
"MULTILINESTRING ((34.81501 32.04988,34.81494 32.04993,34.81486 32.05002))",834820699,
"MULTILINESTRING ((34.81388 32.08964,34.81393 32.08974,34.81391 32.08989))",834821451,מעלה השואבה
"MULTILINESTRING ((34.83454 32.0606,34.83461 32.06083,34.83474 32.06081))",834821505,
"MULTILINESTRING ((34.82888 32.05154,34.82889 32.05159))",834821507,
"MULTILINESTRING ((34.82735 32.06628,34.82751 32.06682))",834822028,תל חי
"MULTILINESTRING ((34.83633 32.06713,34.83641 32.06724,34.8365 32.0674))",834822030,"אצ""ל"
"MULTILINESTRING ((34.8343 32.04684,34.83367 32.04711))",834822209,שדרות האורנים
"MULTILINESTRING ((34.83382 32.05774,34.83384 32.05777,34.834 32.05816,34.83408 32.05844,34.83417 32.05904,34.83417 32.05924,34.83415 32.05929))",834822742,עליה ראשונה
"MULTILINESTRING ((34.83413 32.04816,34.83426 32.04844,34.83438 32.04865))",834822784,אגמון
"MULTILINESTRING ((34.842 32.04907,34.842 32.04942))",834822908,
"MULTILINESTRING ((34.81422 32.04529,34.81431 32.04528,34.81451 32.046,34.81443 32.04603))",834823459,
"MULTILINESTRING ((34.80993 32.08585,34.80974 32.086,34.80987 32.08613))",834823464,ביאליק
"MULTILINESTRING ((34.81434 32.04622,34.81406 32.0463))",834823544,
"MULTILINESTRING ((34.81562 32.04955,34.81538 32.04951,34.81498 32.04953,34.81488 32.04968))",834823565,כיכר הרב פרדס
"MULTILINESTRING ((34.81485 32.05018,34.81483 32.05046,34.81476 32.05096,34.81468 32.05117,34.81459 32.05129,34.81443 32.05168))",834823842,שלם
"MULTILINESTRING ((34.80958 32.09036,34.80944 32.09091))",834824052,רוקח
"MULTILINESTRING ((34.80389 32.08482,34.80399 32.08494,34.8041 32.08507))",834824086,דרך אבא הלל
"MULTILINESTRING ((34.83437 32.05139,34.83447 32.05148))",834824264,נווה אפעל
"MULTILINESTRING ((34.83142 32.06328,34.83141 32.06343))",834824601,
"MULTILINESTRING ((34.83187 32.0448,34.83129 32.04487))",834824813,השקד
"MULTILINESTRING ((34.83114 32.0528,34.83128 32.05311))",834824815,"שז""ר"
"MULTILINESTRING ((34.83922 32.06599,34.83935 32.06623,34.83946 32.06644))",834824829,471
"MULTILINESTRING ((34.82751 32.05144,34.82769 32.05131,34.82775 32.05132,34.82818 32.05152))",834825119,
"MULTILINESTRING ((34.84146 32.06794,34.84148 32.06821))",834825202,
"MULTILINESTRING ((34.84004 32.05747,34.84019 32.05785))",834825300,ה' באייר
"MULTILINESTRING ((34.84204 32.04726,34.84204 32.0474,34.84142 32.04742))",834825337,
"MULTILINESTRING ((34.84098 32.04743,34.84096 32.0476))",834825386,
"MULTILINESTRING ((34.83193 32.05348,34.8315 32.05362))",834825491,"שז""ר"
"MULTILINESTRING ((34.80455 32.08558,34.80508 32.08622))",834825650,דרך אבא הלל
"MULTILINESTRING ((34.80157 32.08805,34.80144 32.08801,34.80135 32.08799,34.80124 32.08799,34.80116 32.08803,34.80111 32.08811))",834825729,
"MULTILINESTRING ((34.80377 32.08027,34.80371 32.08081))",834826182,הראשונים
"MULTILINESTRING ((34.80924 32.07977,34.80922 32.07989))",834826392,החשמונאים
"MULTILINESTRING ((34.82587 32.06815,34.82507 32.06824))",834826576,טרומן
"MULTILINESTRING ((34.81148 32.09114,34.81144 32.09122,34.81125 32.09176,34.811 32.0925,34.81092 32.09255,34.81087 32.09256,34.81069 32.09251))",834826598,"אחימאיר אב""א"
"MULTILINESTRING ((34.83127 32.05848,34.83027 32.05877,34.83003 32.05885,34.82997 32.05889))",834826713,הררי
"MULTILINESTRING ((34.82627 32.0509,34.82655 32.05099,34.82676 32.05101,34.82701 32.051,34.8274 32.05092))",834827261,
"MULTILINESTRING ((34.83637 32.05073,34.83581 32.05098))",834827536,הנציב
"MULTILINESTRING ((34.80604 32.08175,34.80608 32.08223))",834827797,המתמיד
"MULTILINESTRING ((34.80155 32.08297,34.8014 32.08302,34.80132 32.08305,34.80126 32.08308,34.80119 32.08313,34.80111 32.0832))",834827877,
"MULTILINESTRING ((34.80622 32.0801,34.80676 32.08015))",834828386,בועז
"MULTILINESTRING ((34.83394 32.05557,34.83391 32.05565,34.8339 32.0557))",834828665,
"MULTILINESTRING ((34.84196 32.06566,34.84188 32.06569))",834828676,
"MULTILINESTRING ((34.83613 32.06869,34.83666 32.0697))",834828759,אבן אביתור
"MULTILINESTRING ((34.83749 32.06745,34.83667 32.06777))",834828807,קוממיות
"MULTILINESTRING ((34.79946 32.08389,34.7995 32.08398,34.79954 32.08405,34.79959 32.08412,34.79971 32.08418))",834828849,דרך מנחם בגין
"MULTILINESTRING ((34.81633 32.08528,34.81621 32.08585,34.8161 32.08653))",834829498,אבטליון
"MULTILINESTRING ((34.81285 32.05467,34.81315 32.05513,34.81328 32.05541,34.81345 32.05597))",834829591,כרמלי
"MULTILINESTRING ((34.80757 32.08023,34.80707 32.08077))",834831087,יכין
"MULTILINESTRING ((34.80031 32.08569,34.80042 32.08597,34.8005 32.08616,34.80059 32.08636,34.80068 32.08655))",834831553,דרך מנחם בגין
"MULTILINESTRING ((34.8374 32.07015,34.8373 32.07018))",834831584,הרב לנדרס
"MULTILINESTRING ((34.83638 32.04945,34.83563 32.0496))",834831962,האטד
"MULTILINESTRING ((34.80355 32.08246,34.80335 32.08253,34.80329 32.08272))",834832030,
"MULTILINESTRING ((34.80127 32.08833,34.80138 32.08876,34.80135 32.08888))",834832474,
"MULTILINESTRING ((34.82114 32.04524,34.82127 32.04527,34.82137 32.04531,34.82169 32.0456,34.8219 32.0457,34.82207 32.04574,34.82228 32.04575,34.82269 32.04571))",834832486,
"MULTILINESTRING ((34.80479 32.0809,34.80475 32.08134))",834832501,שפירא
"MULTILINESTRING ((34.822 32.08309,34.82119 32.08318))",834832555,הגלגל
"MULTILINESTRING ((34.81577 32.06594,34.81589 32.06608))",834832591,דרך דוד בן גוריון
"MULTILINESTRING ((34.82593 32.0995,34.82599 32.09965,34.82631 32.09973))",834832607,
"MULTILINESTRING ((34.82587 32.06315,34.82538 32.06321))",834832700,אינשטין
"MULTILINESTRING ((34.81514 32.08282,34.81506 32.08296))",834832785,
"MULTILINESTRING ((34.82417 32.09805,34.82398 32.09856))",834832853,
"MULTILINESTRING ((34.81589 32.06608,34.81602 32.06624))",834832986,דרך דוד בן גוריון
"MULTILINESTRING ((34.81992 32.09071,34.81975 32.09108,34.82023 32.09127))",834833034,מבוא נס
"MULTILINESTRING ((34.84505 32.04362,34.84499 32.04393,34.84492 32.04405,34.84469 32.04412,34.84447 32.04413))",834833052,
"MULTILINESTRING ((34.83356 32.0621,34.83323 32.06219))",834833102,סמטת היסמין
"MULTILINESTRING ((34.81544 32.06477,34.81525 32.06482,34.81515 32.06484,34.81499 32.06482))",834833125,דרך יצחק רבין
"MULTILINESTRING ((34.82321 32.07673,34.82324 32.0773))",834833180,עוזיאל
"MULTILINESTRING ((34.81308 32.09212,34.81367 32.09254))",834833799,שדרות העם הצרפתי
"MULTILINESTRING ((34.82699 32.09874,34.82714 32.09878))",834834008,
"MULTILINESTRING ((34.82386 32.09796,34.82401 32.098))",834834011,
"MULTILINESTRING ((34.80608 32.08223,34.8061 32.08252,34.80616 32.08259,34.80623 32.08262,34.80633 32.08263,34.80661 32.08263))",834834161,המתמיד
"MULTILINESTRING ((34.8114 32.07938,34.81139 32.07946,34.81144 32.07975,34.81159 32.0801))",834834183,פרוג שמעון
"MULTILINESTRING ((34.81968 32.07708,34.8192 32.07711,34.81905 32.07712))",834834471,ידידיה
"MULTILINESTRING ((34.8144 32.08695,34.81495 32.08701))",834834605,זוהר
"MULTILINESTRING ((34.81489 32.08738,34.81665 32.08756,34.81745 32.08771,34.81762 32.08773,34.8178 32.08772,34.81817 32.08762))",834834637,שרת משה
"MULTILINESTRING ((34.82282 32.09893,34.8231 32.09908))",834834652,
"MULTILINESTRING ((34.83234 32.05557,34.83176 32.05576,34.83113 32.05609,34.83086 32.0562))",834834706,
"MULTILINESTRING ((34.82097 32.04649,34.82082 32.04651))",834834829,
"MULTILINESTRING ((34.82584 32.09907,34.8257 32.09921,34.82561 32.09927))",834834855,
"MULTILINESTRING ((34.82762 32.09914,34.82759 32.09926))",834834856,
"MULTILINESTRING ((34.82406 32.0668,34.82417 32.06727))",834835152,"הרא""ה"
"MULTILINESTRING ((34.80272 32.07966,34.80383 32.07975))",834835438,"תש""י"
"MULTILINESTRING ((34.79971 32.08418,34.79984 32.08443))",834835591,דרך מנחם בגין
"MULTILINESTRING ((34.80536 32.08682,34.80557 32.08709))",834835599,דרך אבא הלל
"MULTILINESTRING ((34.83002 32.0516,34.82918 32.05173,34.82915 32.05178,34.82918 32.05186))",834835608,
"MULTILINESTRING ((34.83521 32.0631,34.83616 32.06329,34.83629 32.06354))",834835616,הכבאים
"MULTILINESTRING ((34.80557 32.08709,34.80586 32.08741))",834835663,דרך אבא הלל
"MULTILINESTRING ((34.82316 32.08294,34.822 32.08309))",834835795,הגלגל
"MULTILINESTRING ((34.83252 32.06236,34.8326 32.06252,34.83264 32.06265,34.83267 32.06279,34.83271 32.06313,34.83274 32.06334))",834835844,אריה בן אליעזר
